pollen,meds,count
0,0,8
0,0,10
0,0,6
0,0,12
0,0,9
0,0,14
0,0,6
0,0,8
0,0,7
0,0,12
0,0,10
0,0,8
0,0,13
0,0,10
0,0,9
0,0,9
0,0,7
0,0,9
0,0,11
0,0,5
0,0,11
0,0,7
0,0,13
0,0,11
0,0,15
0,0,4
0,0,11
0,0,7
0,0,11
0,0,13
0,0,7
0,0,10
0,0,7
0,0,10
0,0,8
0,0,4
0,0,12
0,0,6
0,0,8
0,0,8
0,0,12
0,0,10
0,0,10
0,0,14
0,0,4
0,0,17
0,0,8
0,0,7
0,0,2
0,0,11
0,0,8
0,0,11
0,0,3
0,0,11
0,0,9
0,0,10
0,0,10
0,0,12
0,0,9
0,0,14
0,0,8
0,0,10
0,0,10
0,0,10
0,0,8
0,0,5
0,0,12
0,0,9
0,0,7
0,0,2
0,0,5
0,0,7
0,0,12
0,0,5
0,0,7
0,0,6
0,0,9
0,0,11
0,0,7
0,0,14
0,0,14
0,0,5
0,0,13
0,0,8
0,0,9
0,0,7
0,0,7
0,0,8
0,0,16
0,0,15
0,0,7
0,0,13
0,0,10
0,0,3
0,0,8
0,0,3
0,0,9
0,0,6
0,0,12
0,0,13
0,1,0
0,1,2
0,1,1
0,1,0
0,1,1
0,1,0
0,1,2
0,1,0
0,1,1
0,1,0
0,1,0
0,1,1
0,1,0
0,1,0
0,1,3
0,1,3
0,1,3
0,1,0
0,1,0
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,2
0,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,0
0,1,2
0,1,2
0,1,0
0,1,0
0,1,2
0,1,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,1
0,1,1
0,1,0
0,1,0
0,1,2
0,1,0
0,1,2
0,1,4
0,1,1
0,1,4
0,1,2
0,1,1
0,1,1
0,1,2
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,3
0,1,0
0,1,0
0,1,0
0,1,2
0,1,0
1,0,11
1,0,15
1,0,13
1,0,16
1,0,12
1,0,21
1,0,10
1,0,26
1,0,16
1,0,14
1,0,21
1,0,12
1,0,11
1,0,15
1,0,11
1,0,17
1,0,17
1,0,11
1,0,13
1,0,8
1,0,16
1,0,12
1,0,13
1,0,17
1,0,23
1,0,19
1,0,12
1,0,18
1,0,18
1,0,15
1,0,20
1,0,12
1,0,14
1,0,17
1,0,17
1,0,14
1,0,14
1,0,20
1,0,16
1,0,17
1,0,13
1,0,22
1,0,16
1,0,18
1,0,18
1,0,17
1,0,10
1,0,14
1,0,16
1,0,18
1,0,16
1,0,16
1,0,8
1,0,19
1,0,18
1,0,13
1,0,14
1,0,16
1,0,17
1,0,22
1,0,19
1,0,16
1,0,14
1,0,15
1,0,23
1,0,17
1,0,17
1,0,16
1,0,17
1,0,19
1,0,18
1,0,14
1,0,22
1,0,18
1,0,18
1,0,13
1,0,15
1,0,18
1,0,14
1,0,18
1,0,12
1,0,21
1,0,12
1,0,27
1,0,23
1,0,18
1,0,20
1,0,22
1,0,23
1,0,23
1,0,18
1,0,14
1,0,24
1,0,17
1,0,18
1,0,13
1,0,13
1,0,20
1,0,14
1,0,18
1,1,9
1,1,4
1,1,5
1,1,9
1,1,1
1,1,5
1,1,4
1,1,3
1,1,4
1,1,1
1,1,1
1,1,5
1,1,6
1,1,6
1,1,6
1,1,4
1,1,3
1,1,3
1,1,5
1,1,3
1,1,1
1,1,4
1,1,6
1,1,5
1,1,2
1,1,5
1,1,7
1,1,5
1,1,4
1,1,4
1,1,4
1,1,3
1,1,7
1,1,4
1,1,7
1,1,3
1,1,3
1,1,4
1,1,3
1,1,1
1,1,8
1,1,8
1,1,4
1,1,2
1,1,3
1,1,9
1,1,2
1,1,2
1,1,2
1,1,5
1,1,5
1,1,1
1,1,7
1,1,1
1,1,2
1,1,2
1,1,3
1,1,5
1,1,1
1,1,3
1,1,5
1,1,2
1,1,7
1,1,4
1,1,4
1,1,3
1,1,7
1,1,5
1,1,3
1,1,3
1,1,2
1,1,3
1,1,1
1,1,4
1,1,6
1,1,5
1,1,5
1,1,5
1,1,8
1,1,3
1,1,3
1,1,4
1,1,5
1,1,3
1,1,7
1,1,5
1,1,4
1,1,5
1,1,5
1,1,7
1,1,5
1,1,2
1,1,6
1,1,4
1,1,7
1,1,6
1,1,5
1,1,4
1,1,6
1,1,4